doi,urls,positions
10.5281/zenodo.1001502,https://github.com/gcube-team/gcube-releases/tree/master/execution/gRS2Broker/1.1.0-4.6.1-126524,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001503,https://github.com/gcube-team/gcube-releases/tree/master/portal/gcube-responsive-theme/6.3.1-4.6.1-141386,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001504,https://github.com/gcube-team/gcube-releases/tree/master/portal/gcube-responsive-theme/6.3.1-4.6.1-141386,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015048,https://github.com/HakamShams/Focal_TSMP,metadata.notes
10.5281/zenodo.10015049,https://github.com/HakamShams/Focal_TSMP,metadata.notes
10.5281/zenodo.1001505,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/gcube-widgets-library/2.2.0-4.6.1-144383,metadata.related_identifiers[1].identifier
10.5281/zenodo.10015053,"https://ror.org/021nxhr62, https://ror.org/05w4e8v21","metadata.notes, metadata.notes"
10.5281/zenodo.10015054,"https://ror.org/021nxhr62, https://ror.org/05w4e8v21","metadata.notes, metadata.notes"
10.5281/zenodo.1001506,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/gcube-widgets-library/2.2.0-4.6.1-144383,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001507,https://github.com/gcube-team/gcube-releases/tree/master/portal/portal-manager/2.3.0-4.6.1-148705,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001508,https://github.com/gcube-team/gcube-releases/tree/master/portal/portal-manager/2.3.0-4.6.1-148705,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001509,https://github.com/gcube-team/gcube-releases/tree/master/portal/VREHome-template/6.4.0-4.6.1-135088,metadata.related_identifiers[1].identifier
10.5281/zenodo.10015097,https://github.com/leonardobeccari/H2Aub_cov_analysis/tree/v0.1aplha,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015098,https://github.com/leonardobeccari/H2Aub_cov_analysis/tree/v0.1aplha,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015099,"https://github.com/rstudio/shiny, https://github.com/ColorlibHQ/AdminLTE, https://github.com/JsLth/gretan/releases, https://github.com/JsLth/gretan/tree/v0.8.1","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1001510,https://github.com/gcube-team/gcube-releases/tree/master/portal/VREHome-template/6.4.0-4.6.1-135088,metadata.related_identifiers[1].identifier
10.5281/zenodo.10015100,"https://github.com/rstudio/shiny, https://github.com/ColorlibHQ/AdminLTE, https://github.com/JsLth/gretan/tree/v0.6.1","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10015103,https://github.com/rperrin22/QCF_Stress_Calculations/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015104,https://github.com/rperrin22/QCF_Stress_Calculations/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001511,https://github.com/gcube-team/gcube-releases/tree/master/portal/client-context-library/1.0.0-4.6.1-134944,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015111,"https://github.com/nasa-pds/pds-api), https://github.com/NASA-PDS/registry-api/tree/v1.4.0-SNAPSHOT","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10015112,"https://github.com/nf-core/pixelator/pull/111, https://github.com/nf-core/pixelator/pull/112, https://github.com/nf-core/pixelator/pull/113, https://github.com/nf-core/pixelator/pull/114, https://github.com/nf-core/pixelator/pull/115, https://github.com/nf-core/pixelator/pull/116, https://github.com/nf-core/pixelator/pull/117, https://github.com/nf-core/pixelator/pull/118, https://github.com/nf-core/pixelator/pull/120, https://github.com/nf-core/pixelator/pull/122, https://github.com/nf-core/pixelator/pull/124, https://github.com/nf-core/pixelator/pull/125, https://github.com/nf-core/pixelator/pull/123, https://github.com/nf-core/pixelator/pull/121, https://github.com/nf-core/pixelator/pull/122, https://github.com/nf-core/pixelator/compare/1.3.1...1.4.0, https://github.com/nf-core/pixelator/tree/1.4.0, https://github.com/nf-core/pixelator","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10015113,"https://github.com/nf-core/pixelator/releases/tag/1.0.0, https://github.com/nf-core/pixelator/tree/1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1001512,https://github.com/gcube-team/gcube-releases/tree/master/portal/client-context-library/1.0.0-4.6.1-134944,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001513,https://github.com/gcube-team/gcube-releases/tree/master/portal/social-networking-library/1.16.0-4.6.1-148756,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001514,https://github.com/gcube-team/gcube-releases/tree/master/portal/social-networking-library/1.16.0-4.6.1-148756,metadata.related_identifiers[1].identifier
10.5281/zenodo.10015142,https://github.com/pano-tacanan-history/oliveiraprotopanoan/tree/v1.1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001515,https://github.com/gcube-team/gcube-releases/tree/master/portlets-widgets/portlets-widgets.statistical-manager-algorithms/1.3.0-4.6.1-142330,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001516,https://github.com/gcube-team/gcube-releases/tree/master/portlets-widgets/portlets-widgets.statistical-manager-algorithms/1.3.0-4.6.1-142330,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001517,https://github.com/gcube-team/gcube-releases/tree/master/social-networking/social-data-search-client/1.2.0-4.6.1-142324,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015170,https://github.com/stephenchea/gastrulation-nipbl-mouse-birth-defects/tree/bioRxiv.01,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015171,https://github.com/stephenchea/gastrulation-nipbl-mouse-birth-defects/tree/bioRxiv.01,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015173,https://github.com/YijianZhou/RSeL_TED/tree/v3.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001518,https://github.com/gcube-team/gcube-releases/tree/master/social-networking/social-data-search-client/1.2.0-4.6.1-142324,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001519,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/questions/2.2.0-4.6.1-135136,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001520,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/questions/2.2.0-4.6.1-135136,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001521,https://github.com/gcube-team/gcube-releases/tree/master/portlets-widgets/portlets.widgets.github-connector/1.4.0-4.6.1-148637,metadata.related_identifiers[1].identifier
10.5281/zenodo.10015214,"https://github.com/rmartinsanta/PDSP/tree/v1-Zenodo, https://github.com/rmartinsanta/PDSP","metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10015215,https://github.com/rmartinsanta/PDSP/tree/v0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015216,"https://github.com/rstudio/shiny, https://github.com/ColorlibHQ/AdminLTE, https://github.com/JsLth/gretan/tree/v0.6.2","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10015217,https://github.com/hzhou43/SARS2-CoE/tree/v1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001522,https://github.com/gcube-team/gcube-releases/tree/master/portlets-widgets/portlets.widgets.github-connector/1.4.0-4.6.1-148637,metadata.related_identifiers[1].identifier
10.5281/zenodo.10015221,https://github.com/ropensci/rtweet/tree/v1.2.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001523,https://github.com/gcube-team/gcube-releases/tree/master/execution/MadgikCommons/1.5.0-4.6.1-124895,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015239,https://github.com/NASA-PDS/pds3-product-tools/tree/v4.4.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001524,https://github.com/gcube-team/gcube-releases/tree/master/execution/MadgikCommons/1.5.0-4.6.1-124895,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015245,https://github.com/NASA-PDS/pds3-product-tools/tree/v4.4.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001525,https://github.com/gcube-team/gcube-releases/tree/master/data-transfer/decompress-archive-plugin/1.0.1-4.6.1-150677,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001526,https://github.com/gcube-team/gcube-releases/tree/master/data-transfer/decompress-archive-plugin/1.0.1-4.6.1-150677,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001527,https://github.com/gcube-team/gcube-releases/tree/master/application-support-layer/application-support-layer-vremanagement/6.9.0-4.6.1-129683,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001528,https://github.com/gcube-team/gcube-releases/tree/master/application-support-layer/application-support-layer-vremanagement/6.9.0-4.6.1-129683,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001529,https://github.com/gcube-team/gcube-releases/tree/master/portlets-widgets/portlets-widgets.workspace-light-tree/2.14.0-4.6.1-125963,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001530,https://github.com/gcube-team/gcube-releases/tree/master/portlets-widgets/portlets-widgets.workspace-light-tree/2.14.0-4.6.1-125963,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015300,https://github.com/jgolob/arf/tree/v0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015301,https://github.com/jgolob/arf/tree/v0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001531,https://github.com/gcube-team/gcube-releases/tree/master/vo-management/usermanagement-core/2.3.2-4.6.1-151504,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001532,https://github.com/gcube-team/gcube-releases/tree/master/vo-management/usermanagement-core/2.3.2-4.6.1-151504,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015321,https://popl24.sigplan.org/,metadata.meeting.url
10.5281/zenodo.1001533,https://github.com/gcube-team/gcube-releases/tree/master/portlets-admin/rmp-common-library/2.7.1-4.6.1-144316,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001534,https://github.com/gcube-team/gcube-releases/tree/master/portlets-admin/rmp-common-library/2.7.1-4.6.1-144316,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001535,https://github.com/gcube-team/gcube-releases/tree/master/portal/ldap-export-servlet/1.2.0-4.6.1-131877,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001536,https://github.com/gcube-team/gcube-releases/tree/master/portal/ldap-export-servlet/1.2.0-4.6.1-131877,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001537,https://github.com/gcube-team/gcube-releases/tree/master/data-analysis/statistical-manager-ewe-integrator/1.1.1-4.6.1-152424,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001538,https://github.com/gcube-team/gcube-releases/tree/master/data-analysis/statistical-manager-ewe-integrator/1.1.1-4.6.1-152424,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001539,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/workspace-portlet-tree/6.17.2-4.6.1-153054,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001540,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/workspace-portlet-tree/6.17.2-4.6.1-153054,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001541,https://github.com/gcube-team/gcube-releases/tree/master/common/common-utils-encryption/1.0.2-4.6.1-126535,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015411,https://github.com/hsalinasGIT/SHARE_pySPEDAS_MMS_currdir/tree/v1.2.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001542,https://github.com/gcube-team/gcube-releases/tree/master/common/common-utils-encryption/1.0.2-4.6.1-126535,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001543,https://github.com/gcube-team/gcube-releases/tree/master/information-system/information-system-model/1.5.0-4.6.1-150941,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015436,"https://github.com/Farama-Foundation/Shimmy/pull/111), https://github.com/Farama-Foundation/Shimmy/pull/104), https://github.com/Farama-Foundation/Shimmy/compare/v1.2.1...v1.3.0, https://github.com/Farama-Foundation/Shimmy/tree/v1.3.0","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1001544,https://github.com/gcube-team/gcube-releases/tree/master/information-system/information-system-model/1.5.0-4.6.1-150941,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001545,https://github.com/gcube-team/gcube-releases/tree/master/data-transfer/data-transfer-library/1.2.0-4.6.1-149241,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001546,https://github.com/gcube-team/gcube-releases/tree/master/data-transfer/data-transfer-library/1.2.0-4.6.1-149241,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001547,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/report-generator-portlet/6.1.0-4.6.1-142373,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001548,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/report-generator-portlet/6.1.0-4.6.1-142373,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001551,https://github.com/gcube-team/gcube-releases/tree/master/data-analysis/tabular-model-util/2.1.1-4.6.1-130678,metadata.related_identifiers[1].identifier
10.5281/zenodo.10015514,"https://github.com/koaning/scikit-lego/pull/584, https://github.com/koaning/scikit-lego/pull/582, https://github.com/koaning/scikit-lego/pull/580, https://github.com/koaning/scikit-lego/pull/577, https://github.com/koaning/scikit-lego/tree/v0.6.16","metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10015515,https://github.com/pola-rs/polars/tree/py-0.19.9,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001552,https://github.com/gcube-team/gcube-releases/tree/master/data-analysis/tabular-model-util/2.1.1-4.6.1-130678,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001553,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/tabular-data-widgetx-tdx-source/1.10.0-4.6.1-142668,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001554,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/tabular-data-widgetx-tdx-source/1.10.0-4.6.1-142668,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015543,"https://github.com/ufs-community/ufs-srweather-app/discussions/categories/q-a, https://github.com/ufs-community/regional_workflow)","metadata.description, metadata.notes"
10.5281/zenodo.10015544,"https://github.com/ufs-community/ufs-srweather-app/discussions/categories/q-a, https://github.com/ufs-community/regional_workflow)","metadata.description, metadata.notes"
10.5281/zenodo.1001555,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/simul-fish-growth-portlet/1.3.0-4.6.1-151143,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001556,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/simul-fish-growth-portlet/1.3.0-4.6.1-151143,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001557,https://github.com/gcube-team/gcube-releases/tree/master/portal/social-mail-servlet/2.2.0-4.6.1-146892,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001558,https://github.com/gcube-team/gcube-releases/tree/master/portal/social-mail-servlet/2.2.0-4.6.1-146892,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015584,"https://github.com/jakta-bdi/jakta/compare/v0.7.9...v0.7.10, https://github.com/jakta-bdi/jakta/commit/b31fa7ac6549a060440789f562b211b0e2eb878e, https://github.com/jakta-bdi/jakta/tree/v0.7.10","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10015585,https://github.com/NASA-PDS/validate/tree/v3.4.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015586,https://github.com/NOAA-EDAB/forageindex/tree/v0.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015587,https://github.com/NOAA-EDAB/forageindex/tree/v0.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015588,https://github.com/aladinor/Atmoscol2023/tree/0.1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001559,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/gcube-GISViewer/2.11.0-4.6.1-150645,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015595,"https://github.com/azavea/raster-vision/pull/1932, https://github.com/azavea/raster-vision/pull/1934, https://github.com/azavea/raster-vision/pull/1952, https://github.com/azavea/raster-vision/pull/1953, https://github.com/azavea/raster-vision/pull/1959, https://github.com/azavea/raster-vision/tree/v0.21.3","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1001560,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/gcube-GISViewer/2.11.0-4.6.1-150645,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001561,https://github.com/gcube-team/gcube-releases/tree/master/portlets-admin/invites-sent/1.1.0-4.6.1-129997,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015614,"https://github.com/RangamaniLabUCSD/MechanoCircadian/pull/6, https://github.com/RangamaniLabUCSD/MechanoCircadian/tree/v1.1.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10015615,https://github.com/RangamaniLabUCSD/MechanoCircadian/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015618,https://github.com/quinoqg/SpeckleMet/tree/v1.0.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015619,https://github.com/quinoqg/SpeckleSense/tree/1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001562,https://github.com/gcube-team/gcube-releases/tree/master/portlets-admin/invites-sent/1.1.0-4.6.1-129997,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015620,https://github.com/RangamaniLabUCSD/MechanoCircadian/tree/v1.0.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001563,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/workspace-explorer-app/1.0.1-4.6.1-150705,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001564,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/workspace-explorer-app/1.0.1-4.6.1-150705,metadata.related_identifiers[2].identifier
10.5281/zenodo.1001565,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/tabular-data-json-export-widget/1.5.0-4.6.1-142626,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001566,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/tabular-data-json-export-widget/1.5.0-4.6.1-142626,metadata.related_identifiers[1].identifier
10.5281/zenodo.1001567,https://github.com/gcube-team/gcube-releases/tree/master/data-analysis/excel-generator/1.0.0-4.6.1-151216,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015670,https://github.com/BIMAU/hybrid_om/tree/v1.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015672,https://github.com/erinsauer/sex-biased-MG-transmission/tree/v.1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001568,https://github.com/gcube-team/gcube-releases/tree/master/data-analysis/excel-generator/1.0.0-4.6.1-151216,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015683,https://github.com/Swaranjali167/Jobify/tree/publish,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015684,https://github.com/Swaranjali167/Jobify/tree/vi,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015685,https://github.com/Swaranjali167/Jobify/tree/vi,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001569,https://github.com/gcube-team/gcube-releases/tree/master/portlets-admin/runtime-resource-creator/2.3.0-4.6.1-150653,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001570,https://github.com/gcube-team/gcube-releases/tree/master/portlets-admin/runtime-resource-creator/2.3.0-4.6.1-150653,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015706,https://github.com/ateucher/lutz/tree/v0.3.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015707,https://github.com/ateucher/lutz/tree/v0.3.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015708,https://github.com/chloewhicker/E3SM/tree/archive/cwhicker/elm-snicaradv4,metadata.related_identifiers[0].identifier
10.5281/zenodo.10015709,https://github.com/chloewhicker/E3SM/tree/archive/cwhicker/elm-snicaradv4,metadata.related_identifiers[0].identifier
10.5281/zenodo.1001571,https://github.com/gcube-team/gcube-releases/tree/master/portlets-user/tabular-data-csv-export-widget/1.9.0-4.6.1-142631,metadata.related_identifiers[2].identifier
10.5281/zenodo.10015710,https://github.com/coq-tactician/coq-tactician/tree/1.0-beta2-8.12,metadata.related_identifiers[0].identifier
